CC,#genre#
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://60.246.171.122:8889/bysid/1
翡翠台,http://bziyunshao.synology.me:8890/bysid/1
明珠台,http://bziyunshao.synology.me:8890/bysid/2
TVB Plus,http://bziyunshao.synology.me:8890/bysid/82
无线新闻台,http://bziyunshao.synology.me:8890/bysid/83
凤凰香港,http://bziyunshao.synology.me:8890/bysid/85
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
TVB Plus,http://php.jdshipin.com:8880/smt.php?id=j2_twn
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
娱乐新闻台,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
ViuTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
ViuTVSix,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
千禧经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
八度空间,http://php.jdshipin.com:8880/smt.php?id=TV8
Astro AOD,http://php.jdshipin.com:8880/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com:8880/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com:8880/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com:8880/smt.php?id=Huahee
咪咕直播 𝟜𝕂-𝟙「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000005180/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=YanG-1989
咪咕直播 𝟜𝕂-𝟚「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000015686/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=YanG-1989
咪咕直播 𝟙「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000005308/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=YanG-1989
咪咕直播 𝟚「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000005969/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=YanG-1989
咪咕直播 𝟛「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000007218/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=YanG-1989
咪咕直播 𝟜「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000001000008001/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=YanG-1989
